district,commune_name,source_tax_year,adopted_year,valid_until_year,income_wealth_pct_base,special_pct,total_pct,commune_multiplier,property_tax_per_mille,communal_property_tax_rate,notes
District d'Aigle,Aigle,2026,2021,2026,66.0,0.0,66.0,0.660,1.20,0.00120,
District d'Aigle,Bex,2026,2024,2026,71.0,0.0,71.0,0.710,1.25,0.00125,
District d'Aigle,Chessel,2026,2025,2026,65.0,0.0,65.0,0.650,1.00,0.00100,
District d'Aigle,Corbeyrier,2026,2025,2026,74.0,0.0,74.0,0.740,1.50,0.00150,
District d'Aigle,Gryon,2026,2025,2026,73.5,0.0,73.5,0.735,1.50,0.00150,
District d'Aigle,Lavey-Morcles,2026,2025,2026,71.5,0.0,71.5,0.715,1.30,0.00130,
District d'Aigle,Leysin,2026,2025,2026,78.0,0.0,78.0,0.780,1.50,0.00150,
District d'Aigle,Noville,2026,2025,2026,75.0,0.0,75.0,0.750,1.50,0.00150,
District d'Aigle,Ollon,2026,2025,2026,68.0,0.0,68.0,0.680,1.30,0.00130,
District d'Aigle,Ormont-Dessous,2026,2024,2026,74.9,2.1,77.0,0.770,1.50,0.00150,
District d'Aigle,Ormont-Dessus,2026,2025,2026,73.0,3.0,76.0,0.760,1.50,0.00150,
District d'Aigle,Rennaz,2026,2025,2027,64.0,0.0,64.0,0.640,1.00,0.00100,
District d'Aigle,Roche,2026,2025,2026,66.5,0.0,66.5,0.665,1.20,0.00120,
District d'Aigle,Villeneuve,2026,2025,2026,66.5,0.0,66.5,0.665,1.00,0.00100,
District d'Aigle,Yvorne,2026,2025,2026,71.5,0.0,71.5,0.715,1.50,0.00150,
District de La Broye-Vully,Avenches,2026,2025,2026,65.0,0.0,65.0,0.650,0.75,0.00075,
District de La Broye-Vully,Bussy-sur-Moudon,2026,2025,2026,78.5,0.0,78.5,0.785,1.00,0.00100,
District de La Broye-Vully,Champtauroz,2026,2025,2026,77.0,0.0,77.0,0.770,0.80,0.00080,
District de La Broye-Vully,Chavannes-sur-Moudon,2026,2025,2026,70.0,0.0,70.0,0.700,1.00,0.00100,
District de La Broye-Vully,Chevroux,2026,2025,2026,68.5,0.0,68.5,0.685,1.20,0.00120,
District de La Broye-Vully,Corcelles-le-Jorat,2026,2025,2027,75.0,0.0,75.0,0.750,1.00,0.00100,
District de La Broye-Vully,Corcelles-près-Payerne,2026,2025,2026,65.0,0.0,65.0,0.650,0.70,0.00070,
District de La Broye-Vully,Cudrefin,2026,2025,2026,59.0,0.0,59.0,0.590,1.50,0.00150,
District de La Broye-Vully,Curtilles,2026,2025,2026,71.0,0.0,71.0,0.710,0.50,0.00050,
District de La Broye-Vully,Dompierre,2026,2024,2026,78.0,0.0,78.0,0.780,1.00,0.00100,
District de La Broye-Vully,Faoug,2026,2025,2026,65.0,0.0,65.0,0.650,1.50,0.00150,
District de La Broye-Vully,Grandcour,2026,2025,2026,72.0,0.0,72.0,0.720,1.00,0.00100,
District de La Broye-Vully,Henniez,2026,2025,2026,69.0,0.0,69.0,0.690,1.00,0.00100,
District de La Broye-Vully,Hermenches,2026,2025,2026,78.0,0.0,78.0,0.780,0.60,0.00060,
District de La Broye-Vully,Lovatens,2026,2023,2026,75.0,0.0,75.0,0.750,0.70,0.00070,
District de La Broye-Vully,Lucens,2026,2025,2027,69.5,0.0,69.5,0.695,1.10,0.00110,
District de La Broye-Vully,Missy,2026,2025,2026,69.0,0.0,69.0,0.690,1.00,0.00100,
District de La Broye-Vully,Moudon,2026,2025,2026,72.5,0.0,72.5,0.725,1.00,0.00100,
District de La Broye-Vully,Payerne,2026,2022,2026,70.0,0.0,70.0,0.700,1.00,0.00100,
District de La Broye-Vully,Prévonloup,2026,2025,2026,72.5,0.0,72.5,0.725,1.00,0.00100,
District de La Broye-Vully,Ropraz,2026,2024,2026,77.5,0.0,77.5,0.775,1.00,0.00100,
District de La Broye-Vully,Rossenges,2026,2025,2026,65.0,0.0,65.0,0.650,0.80,0.00080,
District de La Broye-Vully,Syens,2026,2024,2026,65.0,0.0,65.0,0.650,1.00,0.00100,
District de La Broye-Vully,Trey,2026,2025,2026,78.0,0.0,78.0,0.780,1.00,0.00100,
District de La Broye-Vully,Treytorrens,2026,2025,2026,81.5,0.0,81.5,0.815,1.50,0.00150,
District de La Broye-Vully,Valbroye,2026,2025,2026,70.5,0.0,70.5,0.705,0.60,0.00060,
District de La Broye-Vully,Villars-le-Comte,2026,2024,2026,68.0,0.0,68.0,0.680,1.00,0.00100,
District de La Broye-Vully,Villarzel,2026,2024,2026,75.0,0.0,75.0,0.750,1.00,0.00100,
District de La Broye-Vully,Vucherens,2026,2025,2026,75.0,0.0,75.0,0.750,1.00,0.00100,
District de La Broye-Vully,Vulliens,2026,2025,2026,74.0,0.0,74.0,0.740,1.00,0.00100,
District de La Broye-Vully,Vully-les-Lacs,2026,2025,2027,67.0,0.0,67.0,0.670,1.50,0.00150,
District Du Gros-De Vaud,Assens,2026,2025,2026,70.0,0.0,70.0,0.700,1.00,0.00100,
District Du Gros-De Vaud,Bercher,2026,2025,2026,79.0,0.0,79.0,0.790,1.00,0.00100,
District Du Gros-De Vaud,Bettens,2026,2025,2026,70.0,0.0,70.0,0.700,0.90,0.00090,
